Year,M,F,URL
2013,228,66,http://www.study.cam.ac.uk/undergraduate/publications/docs/admissionsstatistics2013.pdf
2012,257,74,http://www.study.cam.ac.uk/undergraduate/publications/docs/admissionsstatistics2012.pdf
2011,239,68,http://www.study.cam.ac.uk/undergraduate/publications/docs/admissionsstatistics2011.pdf
2010,256,80,https://www.admin.cam.ac.uk/reporter/2010-11/special/14/undergrad_stats.pdf
2009,235,72,https://www.admin.cam.ac.uk/reporter/2009-10/special/15/table4_2.pdf
2008,238,94,https://www.admin.cam.ac.uk/reporter/2008-09/special/17/table4_2.pdf
2007,240,57,https://www.admin.cam.ac.uk/reporter/2007-08/special/14/table4_2.pdf
2006,210,76,https://www.admin.cam.ac.uk/reporter/2006-07/special/11/table4.pdf
2005,208,80,https://www.admin.cam.ac.uk/reporter/2005-06/special/11/table4.pdf
2004,200,81,https://www.admin.cam.ac.uk/reporter/2004-05/special/11/table4.pdf
2003,237,69,https://www.admin.cam.ac.uk/reporter/2003-04/special/12/table4.pdf
2002,204,57,https://www.admin.cam.ac.uk/reporter/2002-03/special/07/table4.pdf
2001,221,74,https://www.admin.cam.ac.uk/reporter/2001-02/special/07/10.html
2000,197,56,https://www.admin.cam.ac.uk/reporter/2000-01/special/07/10.html
1999,228,65,https://www.admin.cam.ac.uk/reporter/1999-2000/special/07/10.html
